Report_Year,Rank,Country,Score
2015,1,Switzerland,7.587
2016,1,Denmark,7.526
2017,1,Norway,7.537
2018,1,Finland,7.632
2019,1,Finland,7.769
2020,1,Finland,7.809
2021,1,Finland,7.842
2015,2,Iceland,7.561
2016,2,Switzerland,7.509
2017,2,Denmark,7.522
2018,2,Norway,7.594
2019,2,Denmark,7.6
2020,2,Denmark,7.646
2021,2,Denmark,7.62
2015,3,Denmark,7.527
2016,3,Iceland,7.501
2017,3,Iceland,7.504
2018,3,Denmark,7.555
2019,3,Norway,7.554
2020,3,Switzerland,7.56
2021,3,Switzerland,7.571
2015,4,Norway,7.522
2016,4,Norway,7.498
2017,4,Switzerland,7.494
2018,4,Iceland,7.495
2019,4,Iceland,7.494
2020,4,Iceland,7.504
2021,4,Iceland,7.554
2015,5,Canada,7.427
2016,5,Finland,7.413
2017,5,Finland,7.469
2018,5,Switzerland,7.487
2019,5,Netherlands,7.488
2020,5,Norway,7.488
2021,5,Netherlands,7.464
